Isobaric ID	Metabolites IDs	Precursor Name	Precursor Formula	Precursor m/z	Precursor Adduct	Precursor Charge	Retention Time
XXX	XXX	Succ	C4H6O4	117.01933	[M-H]	-1	0.3
XXX	XXX	Ferulate	C10H10O4	193.05063	[M-H]	-1	0.3
XXX	XXX	PhenylAcGlyOH	C10H11NO3	192.06662	[M-H]	-1	0.3
XXX	XXX	Xanthosine	C10H12N4O6	283.06841	[M-H]	-1	0.3
XXX	XXX	cAMP	C10H12N5O6P	328.04524	[M-H]	-1	0.3
XXX	XXX	cGMP	C10H12N5O7P	344.04016	[M-H]	-1	0.3
XXX	XXX	IMP	C10H13N4O8P	347.03982	[M-H]	-1	0.3
XXX	XXX	XMP	C10H13N4O9P	363.03474	[M-H]	-1	0.3
XXX	XXX	Adenosine	C10H13N5O4	266.08948	[M-H]	-1	0.3
XXX	XXX	Thymidine	C10H14N2O5	241.08299	[M-H]	-1	0.3
XXX	XXX	IDP	C10H14N4O11P2	427.00615	[M-H]	-1	0.3
XXX	XXX	dAMP	C10H14N5O6P	330.06089	[M-H]	-1	0.3
XXX	XXX	AMP-dGMP	C10H14N5O7P	346.05581	[M-H]	-1	0.3
XXX	XXX	GMP	C10H14N5O8P	362.05072	[M-H]	-1	0.3
XXX	XXX	TMP	C10H15N2O8P	321.04933	[M-H]	-1	0.3
XXX	XXX	ITP	C10H15N4O14P3	506.97248	[M-H]	-1	0.3
XXX	XXX	ADP-dGDP	C10H15N5O10P2	426.02214	[M-H]	-1	0.3
XXX	XXX	GDP	C10H15N5O11P2	442.01705	[M-H]	-1	0.3
XXX	XXX	GTP	C10H16N5O14P3	521.98338	[M-H]	-1	0.3
XXX	XXX	dADP	C10H15N5O9P2	410.02722	[M-H]	-1	0.3
XXX	XXX	Biotin	C10H16N2O3S	243.08089	[M-H]	-1	0.3
XXX	XXX	Edetate	C10H16N2O8	291.08339	[M-H]	-1	0.3
XXX	XXX	dATP	C10H16N5O12P3	489.99355	[M-H]	-1	0.3
XXX	XXX	ATP-dGTP	C10H16N5O13P3	505.98847	[M-H]	-1	0.3
XXX	XXX	dTTP	C10H17N2O14P3	480.98199	[M-H]	-1	0.3
XXX	XXX	GSH	C10H17N3O6S	306.07653	[M-H]	-1	0.3
XXX	XXX	DethioBiotin	C10H18N2O3	213.12447	[M-H]	-1	0.3
XXX	XXX	Sebacate	C10H18O4	201.11323	[M-H]	-1	0.3
XXX	XXX	OHDecanoate	C10H20O3	187.13397	[M-H]	-1	0.3
XXX	XXX	GPP	C10H20O7P2	313.06115	[M-H]	-1	0.3
XXX	XXX	Kynurenate	C10H7NO3	188.03532	[M-H]	-1	0.3
XXX	XXX	Xanthurenate	C10H7NO4	204.03023	[M-H]	-1	0.3
XXX	XXX	IndoleAcetate	C10H9NO2	174.05605	[M-H]	-1	0.3
XXX	XXX	OHIndoleAcetate	C10H9NO3	190.05097	[M-H]	-1	0.3
XXX	XXX	Sinapate	C11H12O5	223.0612	[M-H]	-1	0.3
XXX	XXX	NAcPhe	C11H13NO3	206.08227	[M-H]	-1	0.3
XXX	XXX	Ophtalmate	C11H19N3O6	288.12011	[M-H]	-1	0.3
XXX	XXX	NAcNeuraminate	C11H19NO9	308.0987	[M-H]	-1	0.3
XXX	XXX	CDPEthanolamine	C11H20N4O11P2	445.0531	[M-H]	-1	0.3
XXX	XXX	Tolbutamide	C12H18N2O3S	269.09654	[M-H]	-1	0.3
XXX	XXX	ThiaminePP	C12H18N4O7P2S	423.02987	[M-H]	-1	0.3
XXX	XXX	diHexose	C12H22O11	341.10893	[M-H]	-1	0.3
XXX	XXX	Tre6P	C12H23O14P	421.07526	[M-H]	-1	0.3
XXX	XXX	NAcTrp	C13H14N2O3	245.09317	[M-H]	-1	0.3
XXX	XXX	IndoxylGlucoside	C14H17NO6	294.09831	[M-H]	-1	0.3
XXX	XXX	Citicoline	C14H26N4O11P2	487.10005	[M-H]	-1	0.3
XXX	XXX	UDPGlucuronate	C15H22N2O18P2	579.02701	[M-H]	-1	0.3
XXX	XXX	ADPRib	C15H23N5O14P2	558.0644	[M-H]	-1	0.3
XXX	XXX	UDP-Hex	C15H24N2O17P2	565.04774	[M-H]	-1	0.3
XXX	XXX	Chlorogenate	C16H18O9	353.08781	[M-H]	-1	0.3
XXX	XXX	ADPGlc	C16H25N5O15P2	588.07496	[M-H]	-1	0.3
XXX	XXX	GDPMan	C16H25N5O16P2	604.06988	[M-H]	-1	0.3
XXX	XXX	DTDPGlc	C16H26N2O16P2	563.06848	[M-H]	-1	0.3
XXX	XXX	RiboflavinMP	C17H21N4O9P	455.09734	[M-H]	-1	0.3
XXX	XXX	UDPAcGlcN	C17H27N3O17P2	606.07429	[M-H]	-1	0.3
XXX	XXX	Raffinose	C18H32O16	503.16176	[M-H]	-1	0.3
XXX	XXX	Gibberellate	C19H22O6	345.13436	[M-H]	-1	0.3
